no_cells,no_celltypes,no_markers,k,frac_correct,concordex,mean_random_cdx,concordex_ratio
1000,2,1,20,0.982,0.9667071707170716,0.4990778411174451,1.9369867605273663
1000,2,11,20,1,0.998001152373369,0.49766565700620335,2.005364722928689
1000,2,13,20,0.92,0.8597440796214877,0.4993770454103203,1.721633157797765
1000,2,15,20,0.999,0.9970208083233294,0.4997133520074697,1.9951854484537088
1000,2,3,20,0.51,0.4995495495495495,0.49946446446446446,1.000170352629944
1000,2,5,20,0.946,0.9135600798273388,0.5002101767663425,1.826352445952094
1000,2,7,20,1,0.998001152373369,0.4999499504506127,1.9962021227802005
1000,2,9,20,1,0.998001152373369,0.4963865692484365,2.0105321420851725
1000,2,1,30,0.982,0.9657632429909656,0.5001702614705915,1.9308689807975512
1000,2,11,30,1,0.9970645155697112,0.49912157761336895,1.997638572023549
1000,2,13,30,0.92,0.8590057247675461,0.5004602811082671,1.7164313676707403
1000,2,15,30,0.999,0.9960837668400692,0.4993352452091948,1.9948196655390575
1000,2,3,30,0.51,0.4995829162495829,0.4995150706261817,1.0001358229759036
1000,2,5,30,0.946,0.9119764040574831,0.4986522023647426,1.828882735767828
1000,2,7,30,1,0.9970645155697112,0.4995889156975749,1.9957698904858856
1000,2,9,30,1,0.9970645155697112,0.5005637604361591,1.9918831413223628
1000,2,1,50,0.982,0.9636315631563156,0.49944803813714705,1.929393029053615
1000,2,11,50,1,0.994626218894922,0.4996788932947608,1.9905307833528831
1000,2,13,50,0.92,0.8560696279785597,0.4981480900885454,1.7185042861980944
1000,2,15,50,0.999,0.9935194077631052,0.5006020008003201,1.984649294598804
1000,2,3,50,0.51,0.4996796796796797,0.4995415415415415,1.000276529831157
1000,2,5,50,0.946,0.9080402876060334,0.4992685122335532,1.8187413493067643
1000,2,7,50,1,0.994626218894922,0.4990827374736081,1.9929084783212296
1000,2,9,50,1,0.994626218894922,0.5002202553627375,1.9883765365991892
1000,4,1,20,0.511,0.4645478364291461,0.25008966624300866,1.8575251165226132
1000,4,11,20,1,0.9920632844676196,0.24861331057446104,3.9903868468478128
1000,4,13,20,0.969,0.9400543817128824,0.25077156891473296,3.748648165265173
1000,4,15,20,0.9,0.847487080972892,0.2498610142726505,3.391833989948135
1000,4,3,20,0.527,0.6789515584931275,0.3317675238383513,2.0464678116714534
1000,4,5,20,0.273,0.5631390593047034,0.5012085579723616,1.123562338166933
1000,4,7,20,1,0.9920632844676196,0.24839431234150233,3.9939049937008697
1000,4,9,20,0.362,0.6955887958385184,0.49981137680915705,1.391702606449703
1000,4,1,30,0.511,0.46801220057291,0.24916051896161037,1.878356179877035
1000,4,11,30,1,0.9885712025054028,0.2497888389621964,3.957627597024122
1000,4,13,30,0.969,0.9373189154191806,0.2491663093945627,3.7618204391144494
1000,4,15,30,0.9,0.8454952669960932,0.24896248523361433,3.396074979741311
1000,4,3,30,0.527,0.683263854939395,0.33252034373414724,2.0548031656242665
1000,4,5,30,0.273,0.5692337485282271,0.4997210344756357,1.1391030380090603
1000,4,7,30,1,0.9885712025054028,0.24846270701846784,3.9787508329446153
1000,4,9,30,0.362,0.687127845229954,0.4998204763132621,1.374749290581879
1000,4,1,50,0.511,0.4648840731801168,0.24886084537260528,1.868048276072004
1000,4,11,50,1,0.9835241994709344,0.2500476179031953,3.933347606821438
1000,4,13,50,0.969,0.9321466756643576,0.24844589586165425,3.751910138952017
1000,4,15,50,0.9,0.8372152432982239,0.24875795869900316,3.3655817392811676
1000,4,3,50,0.527,0.6816809881657871,0.3313324395751657,2.0573928379600805
1000,4,5,50,0.273,0.5621026213050753,0.49928245646650554,1.1258208936143224
1000,4,7,50,1,0.9835241994709344,0.2489663185619347,3.9504307456201775
1000,4,9,50,0.362,0.6802225361270866,0.5009981502034776,1.3577346260676173
1000,6,1,20,0.43,0.4089206349060006,0.19917069959955608,2.053116425900791
1000,6,11,20,0.97,0.9359678865971204,0.16477819970423113,5.680168179268479
1000,6,13,20,0.499,0.4762757392691203,0.16557675611205738,2.87646497281775
1000,6,15,20,0.651,0.915272039787,0.24972783246201932,3.665078220411023
1000,6,3,20,0.265,0.28837391993658346,0.1992048302285639,1.4476251384351906
1000,6,5,20,0.821,0.7424637114376333,0.16488726194292996,4.502856695471185
1000,6,7,20,0.732,0.7397746919928292,0.20115318860927064,3.677668234381321
1000,6,9,20,0.799,0.7683228611812575,0.16621182656911812,4.622552299921662
1000,6,1,30,0.43,0.4057393578832328,0.1990893906786133,2.0379757881634744
1000,6,11,30,0.97,0.9292311071040368,0.16590258166996186,5.601064780008077
1000,6,13,30,0.499,0.4729066904424482,0.16539927718899114,2.859182328240093
1000,6,15,30,0.651,0.9084386304164436,0.24778112985471493,3.666294648624379
1000,6,3,30,0.265,0.2823457259875809,0.19949987580922185,1.4152676779487476
1000,6,5,30,0.821,0.7356399579782219,0.16642809632692435,4.420166872143762
1000,6,7,30,0.732,0.7327158985727487,0.1999737167575352,3.6640610098833863
1000,6,9,30,0.799,0.7645087494285498,0.1660141832874998,4.605080929167299
1000,6,1,50,0.43,0.39978149158379384,0.1995699570309405,2.0032148001205083
1000,6,11,50,0.97,0.906778022050973,0.16567439332869377,5.47325391590207
1000,6,13,50,0.499,0.45909532686008647,0.1657426691534117,2.7699284028975484
1000,6,15,50,0.651,0.889012562707788,0.2500171322451309,3.555806575031626
1000,6,3,50,0.265,0.2801161474435196,0.19889946465847536,1.4083303236863864
1000,6,5,50,0.821,0.7217076856560489,0.16553647613356093,4.35981061402895
1000,6,7,50,0.732,0.715143907459392,0.19904314307610735,3.592909036740568
1000,6,9,50,0.799,0.7472419003693184,0.16559585565526347,4.512443245710946
1000,8,1,20,0.147,0.1955506634211531,0.16565765400280005,1.1804505176552107
1000,8,11,20,0.124,0.5740145302834125,0.49953196182803433,1.1491047103028396
1000,8,13,20,0.85,0.9173984717301366,0.1407972892554898,6.515739589740479
1000,8,15,20,0.75,0.7730543365298416,0.14119463523426032,5.475097090248815
1000,8,3,20,0.205,0.4319826007326007,0.2474967985943596,1.7454068221731156
1000,8,5,20,0.257,0.5057207910224025,0.24850487269441163,2.035053822241511
1000,8,7,20,0.217,0.784564393939394,0.49897228867623605,1.5723606535762304
1000,8,9,20,0.847,0.8713571389392779,0.14060058071510403,6.1973935989986435
1000,8,1,30,0.147,0.1939044005345552,0.16636235204276442,1.16555457502014
1000,8,11,30,0.124,0.5508344123147748,0.4999362202081235,1.1018093709742862
1000,8,13,30,0.85,0.9038858314727616,0.14213856499756736,6.3591878213223225
1000,8,15,30,0.75,0.7639434684674683,0.14232977801024005,5.367418393728582
1000,8,3,30,0.205,0.43010490187319456,0.25025594369496806,1.7186600866409023
1000,8,5,30,0.257,0.5004085525167553,0.2503847515086554,1.9985584166033248
1000,8,7,30,0.217,0.7678279505582137,0.500362285132022,1.534544016153456
1000,8,9,30,0.847,0.8612424102721602,0.14274308502952326,6.033514058450055
1000,8,1,50,0.147,0.18938187285223368,0.1660839092528955,1.1402782708098618
1000,8,11,50,0.124,0.5465256797583081,0.4998434757588836,1.0933936447375845
1000,8,13,50,0.85,0.8663983281080403,0.1416871234086884,6.114869913823884
1000,8,15,50,0.75,0.7347931978292572,0.142312340020342,5.163243030957306
1000,8,3,50,0.205,0.42249477351916376,0.2482649632210608,1.7017897654086809
1000,8,5,50,0.257,0.48822072655394216,0.24906098716348865,1.96024568967706
1000,8,7,50,0.217,0.7494298245614035,0.498418793195109,1.5036147007162202
1000,8,9,50,0.847,0.8281355894248047,0.14184942395750322,5.838131494089863
2000,2,1,20,0.508,NA,NA,NA
2000,2,11,20,0.9995,0.9994184941611864,0.4992510898285448,2.001835378074811
2000,2,13,20,1,0.9999753937007874,0.4996318790943815,2.001424319667741
2000,2,15,20,1,0.9999753937007874,0.5000794470051,1.9996330576861103
2000,2,3,20,1,0.9999753937007874,0.4983924684719288,2.0064014947230477
2000,2,5,20,0.508,NA,NA,NA
2000,2,7,20,1,0.9999753937007874,0.4986411854768154,2.005400722655072
2000,2,9,20,0.561,0.5448461875635074,0.4996133602969988,1.090535663897418
2000,2,1,30,0.508,NA,NA,NA
2000,2,11,30,0.9995,0.999327181949272,0.49992519427982407,1.9989534302004324
2000,2,13,30,1,0.9999333162622964,0.4999589139264096,2.0000309793645954
2000,2,15,30,1,0.9999333162622964,0.501047192525731,1.9956868957227925
2000,2,3,30,1,0.9999333162622964,0.4991750954911124,2.0031714829012337
2000,2,5,30,0.508,NA,NA,NA
2000,2,7,30,1,0.9999333162622964,0.5001108550455583,1.999423340193658
2000,2,9,30,0.561,0.5414921665902918,0.4991997790661894,1.0847203650674988
2000,2,1,50,0.508,NA,NA,NA
2000,2,11,50,0.9995,0.9989716686254406,0.5004935843898211,1.9959729750449076
2000,2,13,50,1,0.999597336918251,0.5002440251371018,1.9982194422897737
2000,2,15,50,1,0.999597336918251,0.4995017871241705,2.001188709800877
2000,2,3,50,1,0.999597336918251,0.499304403260568,2.0019798151000865
2000,2,5,50,0.508,NA,NA,NA
2000,2,7,50,1,0.999597336918251,0.49996538313808336,1.9993330951118595
2000,2,9,50,0.561,0.5384375684883744,0.5000801936602179,1.0767024475562783
2000,4,1,20,0.2465,NA,NA,NA
2000,4,11,20,0.2645,0.515206534783787,0.49989921670344417,1.0306208082926915
