"","spot_class","first_type","second_type","first_class","second_class","min_score","singlet_score","conv_all","conv_doublet"
"1","singlet","Bergmann","Granule",FALSE,FALSE,779.600426091842,798.937061443775,TRUE,TRUE
"2","doublet_certain","Bergmann","MLI2",TRUE,FALSE,554.379240694717,595.390540572653,TRUE,TRUE
"3","singlet","Fibroblast","Microglia",FALSE,TRUE,341.940775077065,357.507220950657,TRUE,TRUE
"4","singlet","MLI2","Endothelial",TRUE,FALSE,195.565412692646,197.349584719453,TRUE,TRUE
"5","singlet","Granule","Ependymal",FALSE,FALSE,447.306795422337,470.628115127053,TRUE,TRUE
"6","singlet","Astrocytes","Granule",FALSE,FALSE,724.022646443591,729.396830542336,TRUE,TRUE
"7","singlet","Oligodendrocytes","Astrocytes",FALSE,FALSE,625.536062702568,625.589617419999,TRUE,TRUE
"8","doublet_certain","Granule","Astrocytes",FALSE,FALSE,865.666241660856,942.746134283076,TRUE,TRUE
"9","doublet_uncertain","Purkinje","Astrocytes",FALSE,FALSE,227.315356986286,262.41553765298,TRUE,TRUE
"10","doublet_certain","Astrocytes","Oligodendrocytes",FALSE,FALSE,774.243209647071,811.563494582052,TRUE,TRUE
"11","singlet","Granule","Bergmann",FALSE,FALSE,400.631655747067,401.393010697188,TRUE,TRUE
"12","singlet","Bergmann","Purkinje",FALSE,FALSE,542.686155781686,567.24008507566,TRUE,TRUE
"13","doublet_uncertain","Bergmann","MLI2",TRUE,FALSE,1104.43569942323,1224.41194861148,TRUE,TRUE
"14","singlet","Fibroblast","Choroid",FALSE,FALSE,165.119980019936,167.469929681705,TRUE,TRUE
"15","singlet","Granule","Ependymal",FALSE,FALSE,440.083699225079,455.643807427899,TRUE,TRUE
"16","doublet_certain","Granule","Oligodendrocytes",FALSE,FALSE,1236.95879345657,1383.27103770803,TRUE,TRUE
"17","singlet","Astrocytes","Oligodendrocytes",FALSE,FALSE,290.771046593543,295.253976609782,TRUE,TRUE
"18","singlet","Granule","Oligodendrocytes",FALSE,FALSE,512.391121153167,518.950958999565,TRUE,TRUE
"19","singlet","Granule","Macrophages",FALSE,FALSE,1142.60710610651,1143.89749777098,TRUE,TRUE
"20","singlet","MLI2","Astrocytes",FALSE,FALSE,219.095327119233,225.998666803497,TRUE,TRUE
"21","doublet_uncertain","Granule","Golgi",FALSE,FALSE,841.657574139582,873.627246526766,TRUE,TRUE
"22","singlet","Granule","Oligodendrocytes",FALSE,FALSE,1282.1734474397,1289.2884393878,TRUE,TRUE
"23","singlet","Bergmann","Macrophages",FALSE,FALSE,570.245785118083,571.727382394184,TRUE,TRUE
"24","singlet","Oligodendrocytes","Astrocytes",FALSE,FALSE,630.874694131989,640.548513516969,TRUE,TRUE
"25","doublet_certain","Granule","Astrocytes",FALSE,FALSE,1022.82000104193,1049.60200724193,TRUE,TRUE
"26","singlet","Oligodendrocytes","Astrocytes",FALSE,FALSE,252.518096241538,256.02099727296,TRUE,TRUE
"27","singlet","Bergmann","Astrocytes",FALSE,FALSE,332.833835609149,332.831693566951,TRUE,TRUE
"28","doublet_certain","Granule","Oligodendrocytes",FALSE,FALSE,720.129482262479,782.187460279552,TRUE,TRUE
"29","singlet","Granule","Astrocytes",FALSE,FALSE,443.527269479451,462.037797738882,TRUE,TRUE
"30","doublet_certain","Granule","Astrocytes",FALSE,FALSE,1058.73509816759,1156.03285932821,TRUE,TRUE
