"CellID","Group","Cell","ExpLibSize","Matrix_Order","spatial_index","row","col","Checker_120_15","Mapped_Color"
"Type2_1","Type2","Cell1",48277.0817917145,1,1,0,0,"Black","#8c510a"
"Type1_1","Type1","Cell2",82614.8529309926,2,2,0,1,"Black","#35978f"
"Type2_2","Type2","Cell3",69673.1201805193,3,6,0,5,"Black","#8c510a"
"Type1_2","Type1","Cell4",54375.7612248367,4,3,0,2,"Black","#35978f"
"Type1_3","Type1","Cell5",63133.0266822862,5,4,0,3,"Black","#35978f"
"Type1_4","Type1","Cell6",79608.3795745172,6,5,0,4,"Black","#35978f"
"Type2_3","Type2","Cell7",70808.2860525853,7,16,0,15,"White","#8c510a"
"Type1_5","Type1","Cell8",48765.264143761,8,7,0,6,"Black","#35978f"
"Type1_6","Type1","Cell9",86075.04375235,9,8,0,7,"Black","#35978f"
"Type1_7","Type1","Cell10",47132.112319101,10,9,0,8,"Black","#35978f"
"Type1_8","Type1","Cell11",69293.8554661111,11,10,0,9,"Black","#35978f"
"Type1_9","Type1","Cell12",56197.7481823099,12,11,0,10,"Black","#35978f"
"Type1_10","Type1","Cell13",68269.3702707576,13,12,0,11,"Black","#35978f"
"Type2_4","Type2","Cell14",53250.6165553013,14,17,0,16,"White","#8c510a"
"Type2_5","Type2","Cell15",59067.2520868386,15,19,0,18,"White","#8c510a"
"Type1_11","Type1","Cell16",48246.5588084493,16,13,0,12,"Black","#35978f"
"Type2_6","Type2","Cell17",54009.4206802808,17,20,0,19,"White","#8c510a"
"Type1_12","Type1","Cell18",89985.5948123527,18,14,0,13,"Black","#35978f"
"Type1_13","Type1","Cell19",70981.5211387038,19,15,0,14,"Black","#35978f"
"Type1_14","Type1","Cell20",57699.2888637572,20,18,0,17,"White","#35978f"
"Type2_7","Type2","Cell21",44497.8796340067,21,21,0,20,"White","#8c510a"
"Type1_15","Type1","Cell22",48767.4792622694,22,31,0,30,"Black","#35978f"
"Type1_16","Type1","Cell23",76218.0985556875,23,32,0,31,"Black","#35978f"
"Type1_17","Type1","Cell24",55816.2856469673,24,33,0,32,"Black","#35978f"
"Type1_18","Type1","Cell25",81534.407094851,25,34,0,33,"Black","#35978f"
"Type1_19","Type1","Cell26",60151.6271736908,26,38,0,37,"Black","#35978f"
"Type1_20","Type1","Cell27",45576.0631703217,27,40,0,39,"Black","#35978f"
"Type2_8","Type2","Cell28",58064.5082530765,28,22,0,21,"White","#8c510a"
"Type2_9","Type2","Cell29",60028.6611289157,29,23,0,22,"White","#8c510a"
"Type2_10","Type2","Cell30",37369.9529913252,30,24,0,23,"White","#8c510a"
"Type2_11","Type2","Cell31",75703.4741316051,31,25,0,24,"White","#8c510a"
